variety,points,price
Merlot-Tannat,89.33333333333333,18.333333333333332
Merseguera-Sauvignon Blanc,85.0,9.0
Meseguera,91.0,35.0
Misket,85.0,19.0
Mission,90.0,68.0
Molinara,87.0,25.0
Monastrell,86.85975609756098,19.234567901234566
Monastrell-Petit Verdot,88.0,19.5
Monastrell-Syrah,86.30434782608695,17.217391304347824
Mondeuse,87.58823529411765,26.142857142857142
Monica,86.14285714285714,22.666666666666668
Montepulciano,87.0,24.968
Morava,87.0,26.0
Morillon,89.57142857142857,29.714285714285715
Morio Muskat,86.5,14.0
Moristel,84.0,12.0
Moscadello,89.92307692307692,38.25
Moscatel,88.046875,31.896551724137932
Moscatel Graúdo,87.5,13.0
Moscatel Roxo,88.85714285714286,22.0
Moscatel de Alejandría,85.33333333333333,18.666666666666668
Moscato,86.25376344086021,16.483568075117372
Moscato Giallo,87.66666666666667,21.705882352941178
Moscato Rosa,90.0,33.5
Moscato di Noto,92.0,40.0
Moschofilero,87.72340425531915,15.425531914893616
Moschofilero-Chardonnay,85.0,13.0
Moscofilero,87.0,14.0
Mourvèdre,88.84074074074074,33.947565543071164
Mourvèdre-Syrah,91.0,43.666666666666664
Mtsvane,87.6,20.75
Muscadel,91.0,88.33333333333333
Muscadelle,92.5,111.2
Muscadet,88.0,10.5
Muscadine,85.5,22.5
Muscat,88.47826086956522,29.863636363636363
Muscat Blanc,88.625,23.0
Muscat Blanc à Petit Grain,86.0,19.25
Muscat Blanc à Petits Grains,86.0,16.0
Muscat Canelli,87.51851851851852,19.35185185185185
Muscat Hamburg,88.0,18.75
Muscat d'Alexandrie,86.5,17.5
Muscat of Alexandria,86.75,16.5
Muscatel,87.0,15.333333333333334
Muskat,89.66666666666667,20.5
Muskat Ottonel,86.6,15.909090909090908
Muskateller,86.8,26.0
Müller-Thurgau,86.53061224489795,18.489795918367346
Narince,87.14285714285714,21.285714285714285
Nascetta,87.83333333333333,27.0
Nasco,91.4,51.25
Nebbiolo,90.3256484149856,66.96468253968254
Negrette,87.65,19.444444444444443
Negroamaro,86.8076923076923,18.33684210526316
Nerello Cappuccio,89.83333333333333,32.666666666666664
Nerello Mascalese,89.67647058823529,40.116279069767444
Nero d'Avola,87.5,23.697619047619046
